"_id","_labels","atcClassification","category","class","diseaseID","drugID","ensemblID","name","ncbiID","ncbiTaxID","providedBy","semanticType","symbol","type","uniprotID","_start","_end","_type","associationType","confidenceScore","identifier","providedBy","publication","relation","type"
"27",":Drug","Drug","Cytochrome P-450 CYP2C9 Substrates, Heterocyclic Compounds, Fused-Ring, Protein Kinase Inhibitors, Cytochrome P-450 CYP3A4 Substrates (strength unknown), Cytochrome P-450 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP1A2 Substrates, Antineoplastic Agents, Cytochrome P-450 CYP3A4 Substrates, P-glycoprotein inhibitors, Kinase Inhibitor","","","DB14989","","Umbralisib","","","","","","Drug","",,,,,,,,,,
"28",":Drug","Drug","Heterocyclic Compounds, Fused-Ring, Enzyme Inhibitors, Noxae, Toxic Actions, Benzofurans, Compounds used in a research, industrial, or household setting, Irritants","","","DB12328","","Cantharidin","","","","","","Drug","",,,,,,,,,,
"34",":Protein","","biolink:Protein","","","","[""ENSG00000175203""]","","10540","9606","intact_covid","","DCTN2","","Q13561",,,,,,,,,,
"36",":Protein","","biolink:Protein","","","","[""N/A""]","","N/A","694009","intact_covid","","NS7b","","Q7T6S2",,,,,,,,,,
"38",":Protein","","biolink:Protein","","","","[""ENSG00000159593""]","","8883","9606","intact_covid","","NAE1","","Q13564",,,,,,,,,,
"39",":Protein","","biolink:Protein","","","","[""ENSG00000204463"",""ENSG00000229524"",""ENSG00000227761"",""ENSG00000228760"",""ENSG00000096155"",""ENSG00000234651"",""ENSG00000233348""]","","7917","9606","intact_covid","","BAG6","","P46379",,,,,,,,,,
"40",":Protein","","biolink:Protein","","","","[""ENSG00000185359""]","","9146","9606","intact_covid","","HGS","","O14964",,,,,,,,,,
"42",":Drug","G04CA51,G04CA,G04C,G04,G,Drug;G04CA01,G04CA,G04C,G04,G,Drug","QTc Prolonging Agents, Cytochrome P-450 Substrates, Adrenergic alpha-Antagonists, P-glycoprotein substrates, Genito Urinary System and Sex Hormones, Peripheral alpha-1 blockers, Urologicals, Cytochrome P-450 CYP3A4 Substrates, Genitourinary Agents, Selective Alfa-1-adrenergic Blocking Agents, Prostatic Hyperplasia, Urological Agents, Heterocyclic Compounds, Fused-Ring, Neurotransmitter Agents, Cytochrome P-450 CYP3A Substrates, Adrenergic Antagonists, Potential QTc-Prolonging Agents, Adrenergic alpha-1 Receptor Antagonists, Drugs Used in Benign Prostatic Hypertrophy, Adrenergic Agents","","","DB00346","","Alfuzosin","","","","","","Drug","",,,,,,,,,,
"46",":Protein","","biolink:Protein","","","","[""ENSG00000117616""]","","57035","9606","intact_covid","","RSRP1","","Q9BUV0",,,,,,,,,,
"48",":Protein","","biolink:Protein","","","","[""ENSG00000179455""]","","7681","9606","intact_covid","","MKRN3","","Q13064",,,,,,,,,,
"49",":Protein","","biolink:Protein","","","","[""ENSG00000149131""]","","710","9606","intact_covid","","SERPING1","","P05155",,,,,,,,,,
"50",":Protein","","biolink:Protein","","","","[""ENSG00000171960""]","","10465","9606","intact_covid","","PPIH","","O43447",,,,,,,,,,
"51",":Protein","","biolink:Protein","","","","[""ENSG00000182774"",""ENSG00000278229""]","","6218","9606","intact_covid","","RPS17","","P08708",,,,,,,,,,
"53",":Drug","Drug","Carbohydrates, Heterocyclic Compounds, Fused-Ring, Flavonoids, Flavanones, Glycosides, Benzopyrans, Chromones, Pyrans","","","DB04703","","Hesperidin","","","","","","Drug","",,,,,,,,,,
"54",":Protein","","biolink:Protein","","","","[""ENSG00000075975""]","","23609","9606","intact_covid","","MKRN2","","Q9H000",,,,,,,,,,
"55",":Protein","","biolink:Protein","","","","[""ENSG00000244754""]","","10443","9606","intact_covid","","N4BP2L2","","Q92802",,,,,,,,,,
"56",":Protein","","biolink:Protein","","","","[""ENSG00000136261""]","","28969","9606","intact_covid","","BZW2","","Q9Y6E2",,,,,,,,,,
"58",":Drug","L01XK03,L01XK,L01X,L01,L,Drug","Cytochrome P-450 Substrates, Cytochrome P-450 Enzyme Inhibitors, OCT1 inhibitors, MATE 1 Inhibitors, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index, Cytochrome P-450 CYP3A7 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors (weak), Cytochrome P-450 CYP1A2 Inducers (moderate), OATP1B1/SLCO1B1 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Antineoplastic and Immunomodulating Agents, Poly(ADP-ribose) Polymerase Inhibitors, P-glycoprotein substrates with a Narrow Therapeutic Index, OAT1/SLC22A6 inhibitors, Narrow Therapeutic Index Drugs, Cytochrome P-450 CYP3A7 Inhibitors, Cytochrome P-450 CYP1A2 Inducers, Poly (ADP-ribose) polymerase (PARP) inhibitors, MATE 2 Inhibitors, Cytochrome P-450 CYP2C19 Inhibitors (weak), Cytochrome P-450 CYP2D6 Substrates, OAT3/SLC22A8 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors, Enzyme Inhibitors, OATP1B3 inhibitors, Cytochrome P-450 CYP2C19 Inhibitors, MATE inhibitors, Cytochrome P-450 CYP1A2 Inhibitors, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (moderate), Cytochrome P-450 CYP1A2 Inhibitors (weak), Cytochrome P-450 CYP3A5 Inhibitors (strength unknown), P-glycoprotein substrates, Cytochrome P-450 CYP3A5 Inhibitors, Antineoplastic Agents, BCRP/ABCG2 Inhibitors, UGT1A1 Inhibitors, Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index, Heterocyclic Compounds, Fused-Ring, BCRP/ABCG2 Substrates, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP3A4 Inhibitors, P-glycoprotein inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (weak)","","","DB12332","","Rucaparib","","","","","","Drug","",,,,,,,,,,
"59",":Protein","","biolink:Protein","","","","[""ENSG00000183765""]","","11200","9606","intact_covid","","CHEK2","","O96017",,,,,,,,,,
"62",":Protein","","biolink:Protein","","","","[""ENSG00000164615""]","","819","9606","intact_covid","","CAMLG","","P49069",,,,,,,,,,
"64",":Protein","","biolink:Protein","","","","[""ENSG00000103226"",""ENSG00000278087""]","","408050","9606","intact_covid","","NOMO3","","P69849",,,,,,,,,,
"65",":Protein","","biolink:Protein","","","","[""ENSG00000083937""]","","25978","9606","intact_covid","","CHMP2B","","Q9UQN3",,,,,,,,,,
"67",":Protein","","biolink:Protein","","","","[""ENSG00000108953"",""ENSG00000274474""]","","7531","9606","intact_covid","","YWHAE","","P62258",,,,,,,,,,
"68",":Protein","","biolink:Protein","","","","[""N/A""]","","N/A","694009","intact_covid","","ORF3a","","J9TC74",,,,,,,,,,
"69",":Protein","","biolink:Protein","","","","[""ENSG00000204536"",""ENSG00000223533"",""ENSG00000206355"",""ENSG00000224180"",""ENSG00000234114"",""ENSG00000206457""]","","54535","9606","intact_covid","","CCHCR1","","Q8TD31",,,,,,,,,,
"71",":Protein","","biolink:Protein","","","","[""ENSG00000244207"",""ENSG00000244731"",""ENSG00000227746"",""ENSG00000206340""]","","720","9606","intact_covid","","C4A","","P0C0L4",,,,,,,,,,
"72",":Protein","","biolink:Protein","","","","[""ENSG00000233312""]","","100293534","9606","intact_covid","","c4_beta_chain","","P0C0L5",,,,,,,,,,
"74",":Protein","","biolink:Protein","","","","[""ENSG00000009724""]","","10747","9606","intact_covid","","MASP2","","O00187",,,,,,,,,,
"75",":Protein","","biolink:Protein","","","","[""ENSG00000109471""]","","3558","9606","intact_covid","","IL2","","P60568",,,,,,,,,,
"76",":Drug","L04AA55,L04AA,L04A,L04,L,Drug","Immunoglobulins, Immunosuppressive Agents, Antineoplastic and Immunomodulating Agents, Antibodies, Amino Acids, Peptides, and Proteins, Antibodies, Monoclonal, Selective Immunosuppressants, Immunoproteins, Proteins, Serum Globulins, Globulins, Blood Proteins, Classical Complement Pathway Inhibitor","","","DB14996","","Sutimlimab","","","","","","Drug","",,,,,,,,,,
"78",":Protein","","biolink:Protein","","","","[""ENSG00000159216""]","","861","9606","intact_covid","","RUNX1","","Q01196",,,,,,,,,,
"79",":Protein","","biolink:Protein","","","","[""ENSG00000139687""]","","5925","9606","intact_covid","","RB1","","P06400",,,,,,,,,,
"80",":Protein","","biolink:Protein","","","","[""ENSG00000184584"",""ENSG00000288243""]","","340061","9606","intact_covid","","STING1","","Q86WV6",,,,,,,,,,
"81",":Protein","","biolink:Protein","","","","[""ENSG00000088888""]","","57506","9606","intact_covid","","MAVS","","Q7Z434",,,,,,,,,,
"83",":Protein","","biolink:Protein","","","","[""ENSG00000166441""]","","6157","9606","intact_covid","","RPL27A","","P46776",,,,,,,,,,
"84",":Protein","","biolink:Protein","","","","[""ENSG00000143575""]","","10456","9606","intact_covid","","HAX1","","O00165",,,,,,,,,,
"86",":Protein","","biolink:Protein","","","","[""ENSG00000125629""]","","51141","9606","intact_covid","","INSIG2","","Q9Y5U4",,,,,,,,,,
"90",":Protein","","biolink:Protein","","","","[""ENSG00000197635""]","","1803","9606","intact_covid","","DPP4","","P27487",,,,,,,,,,
"91",":Drug","Drug","Proteins, Biological Factors, Immunologic Factors, Peptides, Interferons, Intercellular Signaling Peptides and Proteins, Amino Acids, Peptides, and Proteins, Experimental Unapproved Treatments for COVID-19, Anti-Infective Agents, Interferon Type I","","","DB14999","","Human interferon beta","","","","","","Drug","",,,,,,,,,,
"92",":Protein","","biolink:Protein","","","","[""ENSG00000153187""]","","3192","9606","intact_covid","","HNRNPU","","Q00839",,,,,,,,,,
"93",":Protein","","biolink:Protein","","","","[""ENSG00000124575""]","","3007","9606","intact_covid","","H1-3","","P16402",,,,,,,,,,
"94",":Protein","","biolink:Protein","","","","[""ENSG00000161970""]","","6154","9606","intact_covid","","RPL26","","P61254",,,,,,,,,,
"95",":Protein","","biolink:Protein","","","","[""ENSG00000065978""]","","4904","9606","intact_covid","","YBX1","","P67809",,,,,,,,,,
"96",":Protein","","biolink:Protein","","","","[""ENSG00000105372""]","","6223","9606","intact_covid","","RPS19","","P39019",,,,,,,,,,
"97",":Protein","","biolink:Protein","","","","[""ENSG00000234475"",""ENSG00000204389"",""ENSG00000237724"",""ENSG00000235941"",""ENSG00000215328""]","","3303","9606","intact_covid","","HSPA1A","","P0DMV8",,,,,,,,,,
"98",":Protein","","biolink:Protein","","","","[""ENSG00000079246""]","","7520","9606","intact_covid","","XRCC5","","P13010",,,,,,,,,,
"99",":Protein","","biolink:Protein","","","","[""ENSG00000070756""]","","26986","9606","intact_covid","","PABPC1","","P11940",,,,,,,,,,
"100",":Protein","","biolink:Protein","","","","[""ENSG00000115053""]","","4691","9606","intact_covid","","NCL","","P19338",,,,,,,,,,
"101",":Protein","","biolink:Protein","","","","[""ENSG00000196419""]","","2547","9606","intact_covid","","XRCC6","","P12956",,,,,,,,,,
"102",":Protein","","biolink:Protein","","","","[""ENSG00000188130""]","","6300","9606","intact_covid","","MAPK12","","P53778",,,,,,,,,,
"104",":Protein","","biolink:Protein","","","","[""ENSG00000072201""]","","84708","9606","intact_covid","","LNX1","","Q8TBB1",,,,,,,,,,
"106",":Protein","","biolink:Protein","","","","[""ENSG00000008277""]","","53616","9606","intact_covid","","ADAM22","","Q9P0K1",,,,,,,,,,
"107",":Protein","","biolink:Protein","","","","[""ENSG00000273079""]","","2904","9606","intact_covid","","GRIN2B","","Q13224",,,,,,,,,,
"108",":Protein","","biolink:Protein","","","","[""ENSG00000043093""]","","54165","9606","intact_covid","","DCUN1D1","","Q96GG9",,,,,,,,,,
"109",":Protein","","biolink:Protein","","","","[""ENSG00000130402"",""ENSG00000282844""]","","81","9606","intact_covid","","ACTN4","","O43707",,,,,,,,,,
"111",":Protein","","biolink:Protein","","","","[""ENSG00000169862""]","","1501","9606","intact_covid","","CTNND2","","Q9UQB3",,,,,,,,,,
"114",":Protein","","biolink:Protein","","","","[""ENSG00000186654""]","","55615","9606","intact_covid","","PRR5","","P85299",,,,,,,,,,
"115",":Protein","","biolink:Protein","","","","[""ENSG00000077522""]","","88","9606","intact_covid","","ACTN2","","P35609",,,,,,,,,,
"117",":Protein","","biolink:Protein","","","","[""ENSG00000087470""]","","10059","9606","intact_covid","","DNM1L","","O00429",,,,,,,,,,
"119",":Protein","","biolink:Protein","","","","[""ENSG00000152402""]","","2977","9606","intact_covid","","GUCY1A2","","P33402",,,,,,,,,,
"130",":Protein","","biolink:Protein","","","","[""ENSG00000072110""]","","87","9606","intact_covid","","ACTN1","","P12814",,,,,,,,,,
"131",":Protein","","biolink:Protein","","","","[""ENSG00000054523""]","","23095","9606","intact_covid","","KIF1B","","O60333",,,,,,,,,,
"132",":Protein","","biolink:Protein","","","","[""ENSG00000105976""]","","4233","9606","intact_covid","","MET","","P08581",,,,,,,,,,
"135",":Protein","","biolink:Protein","","","","[""ENSG00000183873""]","","6331","9606","intact_covid","","SCN5A","","Q14524",,,,,,,,,,
"138",":Protein","","biolink:Protein","","","","[""ENSG00000131558""]","","60412","9606","intact_covid","","EXOC4","","Q96A65",,,,,,,,,,
"142",":Protein","","biolink:Protein","","","","[""ENSG00000112851""]","","55914","9606","intact_covid","","ERBIN","","Q96RT1",,,,,,,,,,
"144",":Protein","","biolink:Protein","","","","[""ENSG00000171873""]","","146","9606","intact_covid","","ADRA1D","","P25100",,,,,,,,,,
"145",":Protein","","biolink:Protein","","","","[""ENSG00000169435""]","","166824","9606","intact_covid","","RASSF6","","Q6ZTQ3",,,,,,,,,,
"146",":Protein","","biolink:Protein","","","","[""ENSG00000188991""]","","729025","9606","intact_covid","","SLC15A5","","A6NIM6",,,,,,,,,,
"147",":Protein","","biolink:Protein","","","","[""ENSG00000173848""]","","10276","9606","intact_covid","","NET1","","Q7Z628",,,,,,,,,,
"148",":Protein","","biolink:Protein","","","","[""ENSG00000017797""]","","10928","9606","intact_covid","","RALBP1","","Q15311",,,,,,,,,,
"149",":Protein","","biolink:Protein","","","","[""ENSG00000112333""]","","7101","9606","intact_covid","","NR2E1","","Q9Y466",,,,,,,,,,
"152",":Protein","","biolink:Protein","","","","[""ENSG00000168036""]","","1499","9606","intact_covid","","CTNNB1","","P35222",,,,,,,,,,
"158",":Protein","","biolink:Protein","","","","[""ENSG00000168135""]","","3761","9606","intact_covid","","KCNJ4","","P48050",,,,,,,,,,
"164",":Drug","L04AA48,L04AA,L04A,L04,L,Drug","Cytochrome P-450 CYP2D6 Inhibitors, Acids, Acyclic, Enzyme Inhibitors, Cytochrome P-450 Substrates, Immunosuppressive Agents, Cytochrome P-450 Enzyme Inhibitors, Amides, Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP3A4 Substrates, Acetates, Cytochrome P-450 CYP1A2 Inhibitors (strength unknown), Selective Immunosuppressants, Cytochrome P-450 CYP1A2 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, OATP1B1/SLCO1B1 Inhibitors, P-glycoprotein substrates, Antineoplastic and Immunomodulating Agents, BCRP/ABCG2 Inhibitors, UGT1A1 Inhibitors, Heterocyclic Compounds, Fused-Ring, Protein Kinase Inhibitors, UGT1A9 Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), UGT1A9 Substrates, Cytochrome P-450 CYP2D6 Substrates, P-glycoprotein inhibitors","","","DB16703","","Belumosudil","","","","","","Drug","",,,,,,,,,,
"165",":Protein","","biolink:Protein","","","","[""ENSG00000180900"",""ENSG00000274287""]","","23513","9606","intact_covid","","SCRIB","","Q14160",,,,,,,,,,
"168",":Protein","","biolink:Protein","","","","[""ENSG00000184185""]","","3768","9606","intact_covid","","KCNJ12","","Q14500",,,,,,,,,,
"169",":Protein","","biolink:Protein","","","","[""ENSG00000130037""]","","3741","9606","intact_covid","","KCNA5","","P22460",,,,,,,,,,
"173",":Protein","","biolink:Protein","","","","[""ENSG00000152207""]","","57105","9606","intact_covid","","CYSLTR2","","Q9NS75",,,,,,,,,,
"175",":Protein","","biolink:Protein","","","","[""ENSG00000196990""]","","642968","9606","intact_covid","","FAM163B","","P0C2L3",,,,,,,,,,
"180",":Protein","","biolink:Protein","","","","[""ENSG00000102606""]","","8874","9606","intact_covid","","ARHGEF7","","Q14155",,,,,,,,,,
"186",":Protein","","biolink:Protein","","","","[""ENSG00000178568""]","","2066","9606","intact_covid","","ERBB4","","Q15303",,,,,,,,,,
"189",":Protein","","biolink:Protein","","","","[""ENSG00000169933""]","","9758","9606","intact_covid","","FRMPD4","","Q14CM0",,,,,,,,,,
"191",":Protein","","biolink:Protein","","","","[""ENSG00000144283""]","","8502","9606","intact_covid","","PKP4","","Q99569",,,,,,,,,,
"193",":Protein","","biolink:Protein","","","","[""ENSG00000075711""]","","1739","9606","intact_covid","","DLG1","","Q12959",,,,,,,,,,
"195",":Protein","","biolink:Protein","","","","[""ENSG00000101413""]","","58490","9606","intact_covid","","RPRD1B","","Q9NQG5",,,,,,,,,,
"196",":Drug","A16AX07,A16AX,A16A,A16,A,Drug","Coenzymes, Amines, Various Alimentary Tract and Metabolism Products, BCRP/ABCG2 Inhibitors, Enzymes and Coenzymes, Other Miscellaneous Therapeutic Agents, Phenylalanine Hydroxylase Activators, Phenethylamines, Pteridines, Supplements, Heterocyclic Compounds, Fused-Ring, Ethylamines, Pterins, Alimentary Tract and Metabolism, Nitric Oxide Synthase, P-glycoprotein inhibitors, Dietary Supplements, Phenylalanine Hydroxylase Activator","","","DB00360","","Sapropterin","","","","","","Drug","",,,,,,,,,,
"197",":Protein","","biolink:Protein","","","","[""ENSG00000170315""]","","7314","9606","intact_covid","","UBB","","P0CG47",,,,,,,,,,
"199",":Protein","","biolink:Protein","","","","[""ENSG00000137575""]","","6386","9606","intact_covid","","SDCBP","","O00560",,,,,,,,,,
"201",":Protein","","biolink:Protein","","","","[""ENSG00000126581""]","","8678","9606","intact_covid","","BECN1","","Q14457",,,,,,,,,,
"203",":Drug","A02BX02,A02BX,A02B,A02,A,Drug","Carbohydrates, Anti-Ulcer Agents, Aluminum Complex, Protectants, Drugs that are Mainly Renally Excreted, Thioglycosides, Organometallic Compounds, Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord), Sulfur Compounds, Metal cations, Alimentary Tract and Metabolism, Metal divalent cations, Gastric Cytoprotectants, Glycosides, Aluminium Compounds, Drugs for Acid Related Disorders, Gastrointestinal Agents","","","DB00364","","Sucralfate","","","","","","Drug","",,,,,,,,,,
"204",":Protein","","biolink:Protein","","","","[""ENSG00000140941""]","","81631","9606","intact_covid","","MAP1LC3B","","Q9GZQ8",,,,,,,,,,
"205",":Protein","","biolink:Protein","","","","[""ENSG00000135679""]","","4193","9606","intact_covid","","MDM2","","Q00987",,,,,,,,,,
"206",":Protein","","biolink:Protein","","","","[""ENSG00000141510""]","","7157","9606","intact_covid","","TP53","","P04637",,,,,,,,,,
"208",":Protein","","biolink:Protein","","","","[""ENSG00000126457""]","","3276","9606","intact_covid","","PRMT1","","Q99873",,,,,,,,,,
"209",":Protein","","biolink:Protein","","","","[""ENSG00000107959""]","","10531","9606","intact_covid","","PITRM1","","Q5JRX3",,,,,,,,,,
"210",":Protein","","biolink:Protein","","","","[""ENSG00000168028""]","","3921","9606","intact_covid","","RPSA","","P08865",,,,,,,,,,
"211",":Protein","","biolink:Protein","","","","[""ENSG00000154127""]","","84959","9606","intact_covid","","UBASH3B","","Q8TF42",,,,,,,,,,
"212",":Drug","L01CA04,L01CA,L01C,L01,L,Drug","Cytochrome P-450 CYP2D6 Inhibitors, Antineoplastic Agents, Phytogenic, Cytochrome P-450 Substrates, Immunosuppressive Agents, Cytochrome P-450 Enzyme Inhibitors, Tubulin Modulators, Vinca Alkaloids, Mitosis Modulators, Cardiotoxic antineoplastic agents, Indolizidines, Cytochrome P-450 CYP3A4 Substrates, Indole Alkaloids, Alkaloids, Indoles, Neurotoxic agents, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Antineoplastic and Immunomodulating Agents, Antineoplastic Agents, Secologanin Tryptamine Alkaloids, Myelosuppressive Agents, Heterocyclic Compounds, Fused-Ring, Narrow Therapeutic Index Drugs, Cytochrome P-450 CYP3A Substrates, Antimitotic Agents, Indolizines, Cytochrome P-450 CYP2D6 Inhibitors (weak)","","","DB00361","","Vinorelbine","","","","","","Drug","",,,,,,,,,,
"215",":Drug","C01CA03,C01CA,C01C,C01,C,Drug","OCT1 substrates, Amines, OCT2 Substrates, Adrenergic alpha-1 Receptor Agonists, Cardiovascular Agents, Adrenergic beta-2 Receptor Agonists, Alcohols, Peripheral Nervous System Agents, Adrenergic alpha-2 Receptor Agonists, Adrenergic beta-1 Receptor Agonists, Alpha-and Beta-adrenergic Agonists, Biogenic Amines, COMT Substrates, Adrenergic Agents, Benzene Derivatives, Autonomic Agents, Adrenergic alpha-Agonists, Epinephrine and similars, Norepinephrine, antagonists & inhibitors, Agents producing tachycardia, Catecholamines, Catechols, Adrenergic and Dopaminergic Agents, Amino Alcohols, Ethanolamines, Biogenic Monoamines, Adrenergic beta-Agonists, Neurotransmitter Agents, Sympathomimetics, OCT2 Inhibitors, Vasoconstrictor Agents, Adrenergic Agonists, Cardiac Stimulants Excl. Cardiac Glycosides, Agents that produce hypertension, Phenols, Cardiac Therapy, Adrenergic beta-3 Receptor Agonists","","","DB00368","","Norepinephrine","","","","","","Drug","",,,,,,,,,,
"217",":Protein","","biolink:Protein","","","","[""ENSG00000196388""]","","388324","9606","intact_covid","","INCA1","","Q0VD86",,,,,,,,,,
"219",":Protein","","biolink:Protein","","","","[""ENSG00000172354""]","","2783","9606","intact_covid","","GNB2","","P62879",,,,,,,,,,
"221",":Protein","","biolink:Protein","","","","[""ENSG00000168002""]","","5436","9606","intact_covid","","POLR2G","","P62487",,,,,,,,,,
"223",":Protein","","biolink:Protein","","","","[""ENSG00000100591""]","","10598","9606","intact_covid","","AHSA1","","O95433",,,,,,,,,,
"224",":Protein","","biolink:Protein","","","","[""ENSG00000143379""]","","9869","9606","intact_covid","","SETDB1","","Q15047",,,,,,,,,,
"227",":Protein","","biolink:Protein","","","","[""ENSG00000134086""]","","7428","9606","intact_covid","","VHL","","P40337",,,,,,,,,,
"228",":Protein","","biolink:Protein","","","","[""ENSG00000143374""]","","80222","9606","intact_covid","","TARS2","","Q9BW92",,,,,,,,,,
"231",":Protein","","biolink:Protein","","","","[""ENSG00000135018""]","","29979","9606","intact_covid","","UBQLN1","","Q9UMX0",,,,,,,,,,
"234",":Protein","","biolink:Protein","","","","[""ENSG00000156299""]","","7074","9606","intact_covid","","TIAM1","","Q13009",,,,,,,,,,
"235",":Protein","","biolink:Protein","","","","[""ENSG00000123609""]","","9111","9606","intact_covid","","NMI","","Q13287",,,,,,,,,,
"240",":Protein","","biolink:Protein","","","","[""N/A""]","","N/A","9606","intact_covid","","NPIPB3","","Q92617",,,,,,,,,,
"248",":Protein","","biolink:Protein","","","","[""ENSG00000076053""]","","10179","9606","intact_covid","","RBM7","","Q9Y580",,,,,,,,,,
"253",":Protein","","biolink:Protein","","","","[""ENSG00000102317""]","","5935","9606","intact_covid","","RBM3","","P98179",,,,,,,,,,
